"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"SUNTV","Sun TV Network Limited","EQ","Interim Dividend - Rs 1.25 Per Share","5","12-Mar-2026","12-Mar-2026","-","-"
"RSYSTEMS","R Systems International Limited","EQ","Interim Dividend - Rs 6 Per Share","1","12-Mar-2026","12-Mar-2026","-","-"
"IOC","Indian Oil Corporation Limited","EQ","Interim Dividend - Rs 2 Per Share","10","12-Mar-2026","12-Mar-2026","-","-"
"ECLERX","eClerx Services Limited","EQ","Bonus 1:1","10","13-Mar-2026","13-Mar-2026","-","-"
"RAILTEL","Railtel Corporation Of India Limited","EQ","Interim Dividend - Re 1 Per Share","10","13-Mar-2026","13-Mar-2026","-","-"
"IRFC","Indian Railway Finance Corporation Limited","EQ","Interim Dividend - Rs 1.05 Per Share","10","13-Mar-2026","13-Mar-2026","-","-"
"DICIND","DIC India Limited","EQ","Dividend - Rs 3 Per Share","10","16-Mar-2026","16-Mar-2026","-","-"
"METROPOLIS","Metropolis Healthcare Limited","EQ","Bonus 3:1","2","20-Mar-2026","20-Mar-2026","-","-"
"CASTROLIND","Castrol India Limited","EQ","Dividend - Rs 5.25 Per Share","5","23-Mar-2026","23-Mar-2026","-","-"
"CRISIL","CRISIL Limited","EQ","Dividend - Rs 28 Per Share","1","02-Apr-2026","03-Apr-2026","-","-"
"CIEINDIA","CIE Automotive India Limited","EQ","Dividend - Rs 7 Per Share","10","22-Apr-2026","22-Apr-2026","-","-"
"VESUVIUS","Vesuvius India Limited","EQ","Dividend - Rs 1.50 Per Share","1","30-Apr-2026","30-Apr-2026","-","-"
